,Amarillo,Ariana,Azacca,BRU-1,Calista,Cascade,Centennial,Challenger,Citra,Columbus/Tomahawk/Zeus,East Kent Goldings,El Dorado,Ella,Fuggle,Galaxy,Hallertau Mittelfrueh,Hallertau Tradition,Idaho 7,Kohatu,Krush (HBC 586),Lemondrop,Liberty,Loral,Lotus,Magnum,Mosaic,Motueka,Nectaron,Nelson Sauvin,Perle,Progress,Rakau,Riwaka,Saaz,Sabro,Saphir,Simcoe,Sorachi Ace,Strata,Strisselspalt,Styrian Goldings,Tettnang / Tettnanger,Topaz,Triumph,Chinook,Cluster,Mt Hood,Northern Brewer,Nugget,Warrior,Willamette
Saphir,0.304,0.237,0.000,0.000,0.000,0.636,0.338,0.388,0.013,0.000,0.417,0.000,0.259,0.000,0.000,0.644,0.518,0.000,0.000,0.000,0.535,0.858,0.728,0.013,0.000,0.000,0.133,0.000,0.000,0.480,0.000,0.000,0.057,0.446,0.000,1.000,0.000,0.127,0.000,0.752,0.467,0.675,0.000,0.000,0.047,0.004,0.611,0.000,0.000,0.000,0.154
Simcoe,0.403,0.386,0.670,0.360,0.000,0.117,0.396,0.000,0.312,0.591,0.000,0.117,0.158,0.000,0.353,0.000,0.000,0.784,0.716,0.326,0.000,0.000,0.000,0.252,0.000,0.806,0.222,0.210,0.120,0.000,0.000,0.451,0.169,0.000,0.219,0.000,1.000,0.005,0.498,0.000,0.000,0.000,0.550,0.264,0.677,0.000,0.000,0.000,0.038,0.161,0.000
Sorachi Ace,0.331,0.461,0.300,0.066,0.000,0.367,0.394,0.186,0.307,0.038,0.000,0.000,0.000,0.000,0.206,0.000,0.000,0.132,0.176,0.168,0.604,0.000,0.293,0.652,0.000,0.000,0.560,0.000,0.000,0.000,0.000,0.000,0.172,0.000,0.604,0.127,0.005,1.000,0.000,0.000,0.000,0.000,0.000,0.425,0.383,0.000,0.000,0.000,0.108,0.071,0.000
Strata,0.221,0.263,0.512,0.423,0.018,0.000,0.000,0.000,0.384,0.226,0.000,0.136,0.181,0.000,0.416,0.000,0.000,0.558,0.247,0.411,0.000,0.000,0.000,0.258,0.000,0.701,0.277,0.323,0.160,0.000,0.000,0.059,0.290,0.000,0.225,0.000,0.498,0.000,1.000,0.000,0.000,0.000,0.153,0.304,0.068,0.009,0.000,0.000,0.000,0.000,0.000
Strisselspalt,0.148,0.133,0.000,0.000,0.000,0.354,0.176,0.314,0.000,0.000,0.699,0.000,0.268,0.000,0.000,0.796,0.668,0.000,0.000,0.000,0.456,0.861,0.628,0.000,0.000,0.000,0.000,0.000,0.000,0.561,0.133,0.000,0.000,0.377,0.000,0.752,0.000,0.000,0.000,1.000,0.496,0.830,0.000,0.000,0.000,0.068,0.736,0.000,0.000,0.000,0.282
Styrian Goldings,0.000,0.000,0.000,0.000,0.000,0.009,0.000,0.571,0.000,0.000,0.847,0.000,0.294,0.634,0.000,0.754,0.636,0.000,0.000,0.000,0.000,0.608,0.380,0.000,0.000,0.000,0.000,0.000,0.000,0.436,0.477,0.000,0.000,0.787,0.000,0.467,0.000,0.000,0.000,0.496,1.000,0.790,0.000,0.000,0.000,0.367,0.799,0.258,0.000,0.000,0.791
Tettnang / Tettnanger,0.000,0.000,0.000,0.000,0.000,0.119,0.000,0.441,0.000,0.000,0.849,0.000,0.434,0.260,0.000,0.959,0.843,0.000,0.000,0.000,0.117,0.837,0.574,0.000,0.000,0.000,0.000,0.000,0.000,0.713,0.358,0.000,0.000,0.717,0.000,0.675,0.000,0.000,0.000,0.830,0.790,1.000,0.000,0.000,0.000,0.259,0.932,0.027,0.000,0.000,0.555
Topaz,0.135,0.140,0.516,0.353,0.000,0.000,0.055,0.000,0.147,0.285,0.000,0.379,0.352,0.000,0.319,0.000,0.000,0.603,0.383,0.294,0.000,0.000,0.000,0.114,0.101,0.351,0.090,0.189,0.201,0.125,0.187,0.358,0.000,0.000,0.150,0.000,0.550,0.000,0.153,0.000,0.000,0.000,1.000,0.213,0.365,0.000,0.000,0.082,0.341,0.316,0.000
Triumph,0.678,0.277,0.677,0.814,0.393,0.199,0.228,0.000,0.780,0.000,0.000,0.438,0.245,0.000,0.890,0.000,0.000,0.673,0.468,0.736,0.284,0.000,0.122,0.517,0.000,0.258,0.702,0.733,0.133,0.000,0.000,0.549,0.536,0.000,0.550,0.000,0.264,0.425,0.304,0.000,0.000,0.000,0.213,1.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000
Chinook,0.353,0.328,0.405,0.094,0.000,0.470,0.646,0.125,0.123,0.741,0.000,0.000,0.100,0.000,0.093,0.000,0.000,0.522,0.562,0.040,0.203,0.000,0.318,0.203,0.023,0.281,0.241,0.000,0.000,0.013,0.000,0.175,0.000,0.000,0.105,0.047,0.677,0.383,0.068,0.000,0.000,0.000,0.365,0.200,1.000,0.000,0.000,0.131,0.303,0.256,0.000
Cluster,0.000,0.207,0.000,0.000,0.000,0.000,0.000,0.564,0.000,0.000,0.354,0.000,0.236,0.217,0.000,0.229,0.331,0.000,0.000,0.000,0.000,0.140,0.243,0.000,0.062,0.310,0.000,0.000,0.000,0.410,0.446,0.000,0.000,0.241,0.000,0.004,0.000,0.000,0.009,0.068,0.367,0.259,0.000,0.000,0.000,1.000,0.339,0.436,0.326,0.004,0.514
Mt Hood,0.000,0.000,0.000,0.000,0.000,0.079,0.000,0.525,0.000,0.000,0.805,0.000,0.457,0.311,0.000,0.890,0.862,0.000,0.000,0.000,0.178,0.789,0.555,0.000,0.000,0.000,0.000,0.000,0.000,0.695,0.424,0.000,0.000,0.829,0.000,0.611,0.000,0.000,0.000,0.736,0.799,0.932,0.000,0.000,0.000,0.339,1.000,0.116,0.175,0.000,0.587
Northern Brewer,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.758,0.000,0.113,0.239,0.000,0.032,0.360,0.000,0.002,0.247,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.002,0.000,0.000,0.000,0.000,0.250,0.494,0.000,0.000,0.144,0.000,0.000,0.000,0.000,0.000,0.000,0.258,0.027,0.082,0.000,0.131,0.436,0.116,1.000,0.586,0.000,0.170
Nugget,0.000,0.003,0.000,0.000,0.000,0.000,0.000,0.502,0.000,0.438,0.018,0.000,0.200,0.000,0.000,0.000,0.339,0.097,0.000,0.000,0.000,0.000,0.042,0.000,0.586,0.000,0.000,0.000,0.000,0.389,0.289,0.000,0.000,0.051,0.000,0.000,0.038,0.108,0.000,0.000,0.000,0.000,0.341,0.000,0.303,0.326,0.175,0.586,1.000,0.639,0.000
Warrior,0.004,0.045,0.189,0.020,0.000,0.000,0.149,0.000,0.027,0.395,0.000,0.000,0.000,0.000,0.012,0.000,0.000,0.056,0.000,0.008,0.000,0.000,0.000,0.139,0.870,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.040,0.000,0.161,0.071,0.000,0.000,0.000,0.000,0.316,0.000,0.256,0.004,0.000,0.000,0.639,1.000,0.000
Willamette,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.362,0.000,0.000,0.770,0.000,0.052,0.815,0.000,0.604,0.502,0.000,0.000,0.000,0.000,0.326,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.239,0.621,0.000,0.000,0.550,0.000,0.154,0.000,0.000,0.000,0.282,0.791,0.555,0.000,0.000,0.000,0.514,0.587,0.170,0.000,0.000,1.000
